act,pooling,layer1,layer2,batchsize,optim,best_val_acc
leakyrelu,True,1024,256,32,sgd,0.697916687
leakyrelu,True,256,512,64,adam,0.78125
leakyrelu,False,256,1024,32,adam,0.75
relu,False,512,512,32,sgd,0.578125
leakyrelu,False,1024,1024,32,adam,0.776041687
leakyrelu,True,1024,1024,64,sgd,0.661458313
relu,False,256,256,64,sgd,0.583333313
relu,True,1024,512,64,sgd,0.59375
leakyrelu,True,1024,1024,32,sgd,0.723958313
relu,False,256,512,64,adam,0.776041687
leakyrelu,False,1024,1024,16,sgd,0.458333343
relu,False,1024,256,32,adam,0.744791687
leakyrelu,False,1024,1024,16,sgd,0.541666687
relu,True,512,256,64,sgd,0.614583313
leakyrelu,False,512,256,32,sgd,0.557291687
leakyrelu,False,512,256,16,sgd,0.6875
relu,False,512,512,16,sgd,0.557291687
leakyrelu,True,1024,256,32,sgd,0.6875
leakyrelu,True,256,512,64,adam,0.755208313
leakyrelu,False,256,1024,32,adam,0.739583313
relu,False,512,512,32,sgd,0.598958313
leakyrelu,False,1024,1024,32,adam,0.71875
leakyrelu,True,1024,1024,64,sgd,0.640625
relu,False,256,256,64,sgd,0.609375
relu,True,1024,512,64,sgd,0.630208313
leakyrelu,True,1024,1024,32,sgd,0.692708313
relu,False,256,512,64,adam,0.729166687
leakyrelu,False,1024,1024,16,sgd,0.729166687
relu,False,1024,256,32,adam,0.760416687
leakyrelu,False,1024,1024,16,sgd,0.692708313
relu,True,512,256,64,sgd,0.609375
leakyrelu,False,512,256,32,sgd,0.697916687
leakyrelu,False,512,256,16,sgd,0.682291687
relu,False,512,512,16,sgd,0.59375
leakyrelu,False,512,256,64,adam,0.734375
relu,True,1024,256,32,sgd,0.635416687
relu,False,256,256,32,adam,0.682291687
relu,True,256,512,64,adam,0.760416687
relu,True,256,512,64,adam,0.734375
relu,True,256,512,32,adam,0.734375
relu,True,256,512,64,adam,0.765625
relu,True,256,512,64,adam,0.755208313
relu,True,256,512,64,adam,0.713541687
relu,True,256,512,64,adam,0.671875
relu,False,1024,256,16,adam,0.734375
relu,True,1024,256,32,adam,0.734375
relu,False,1024,256,32,adam,0.713541687
relu,True,1024,256,32,adam,0.739583313
leakyrelu,True,1024,256,32,sgd,0.6875
leakyrelu,True,256,512,64,adam,0.729166687
leakyrelu,False,256,1024,32,adam,0.71875
relu,False,512,512,32,sgd,0.630208313
leakyrelu,False,1024,1024,32,adam,0.729166687
leakyrelu,True,1024,1024,64,sgd,0.682291687
relu,False,256,256,64,sgd,0.630208313
relu,True,1024,512,64,sgd,0.645833313
leakyrelu,True,1024,1024,32,sgd,0.6875
relu,False,256,512,64,adam,0.744791687
leakyrelu,False,1024,1024,16,sgd,0.59375
relu,False,1024,256,32,adam,0.786458313
leakyrelu,False,1024,1024,16,sgd,0.640625
relu,True,512,256,64,sgd,0.640625
leakyrelu,False,512,256,32,sgd,0.619791687
leakyrelu,False,512,256,16,sgd,0.723958313
relu,False,512,512,16,sgd,0.609375
leakyrelu,False,512,256,64,adam,0.708333313
relu,True,1024,256,32,sgd,0.645833313
relu,False,256,256,32,adam,0.6875
relu,False,256,512,64,adam,0.755208313
relu,False,256,512,64,adam,0.625
relu,False,256,512,32,adam,0.765625
relu,False,256,512,32,adam,0.71875
leakyrelu,True,1024,256,32,sgd,0.609375
leakyrelu,True,256,512,64,adam,0.697916687
leakyrelu,False,256,1024,32,adam,0.692708313
relu,False,512,512,32,sgd,0.583333313
leakyrelu,False,1024,1024,32,adam,0.723958313
leakyrelu,True,1024,1024,64,sgd,0.6875
relu,False,256,256,64,sgd,0.614583313
relu,True,1024,512,64,sgd,0.682291687
leakyrelu,True,1024,1024,32,sgd,0.666666687
relu,False,256,512,64,adam,0.713541687
leakyrelu,False,1024,1024,16,sgd,0.572916687
relu,False,1024,256,32,adam,0.697916687
leakyrelu,False,1024,1024,16,sgd,0.614583313
relu,True,512,256,64,sgd,0.6875
leakyrelu,False,512,256,32,sgd,0.578125
leakyrelu,False,512,256,16,sgd,0.609375
relu,False,512,512,16,sgd,0.552083313
leakyrelu,False,512,256,64,adam,0.729166687
relu,True,1024,256,32,sgd,0.583333313
relu,False,256,256,32,adam,0.6875
leakyrelu,False,512,1024,64,adam,0.71875
leakyrelu,False,512,1024,64,adam,0.734375
leakyrelu,False,512,1024,64,adam,0.734375
leakyrelu,False,512,1024,64,adam,0.713541687
leakyrelu,False,512,1024,64,adam,0.71875
